base_seed,gate_seed,budget,group,count,mean_delta,median_delta,p90_delta,fraction_k2_helps
603,22,1.1,MLP only,5188,0.03825561836672087,0.013671875,0.2960205078125002,0.5636083269082498
603,22,1.1,margin only,5300,0.03593062886651957,0.0078125,0.302734375,0.5839622641509434
603,22,1.1,neither,63996,0.005265250966894499,0.000240325927734375,0.109375,0.5133289580598788
603,22,1.2,both,6073,0.05664655998552845,0.03314208984375,0.3923828125000002,0.6092540754157747
603,22,1.2,MLP only,9121,0.022831723272062003,0.00439453125,0.19287109375,0.5433614735226401
603,22,1.2,margin only,9287,0.021054727828090616,0.0029296875,0.234375,0.5555076989339938
603,22,1.2,neither,52319,0.0029645216123447902,0.000110626220703125,0.09375,0.5070433303388826
603,22,1.3,both,10425,0.04836554264279006,0.021484375,0.345703125,0.5952038369304556
603,22,1.3,MLP only,12492,0.012583787953513881,0.001953125,0.140625,0.5295389048991355
603,22,1.3,margin only,12693,0.011097690357174292,0.000865936279296875,0.19226074218750067,0.5365949736075002
603,22,1.3,neither,41190,0.0024430280520111995,4.7206878662109375e-05,0.0859375,0.5028404952658412
603,33,1.1,both,2372,0.09185851323865919,0.0537109375,0.512646484375,0.6344856661045531
603,33,1.1,MLP only,5177,0.03967008172533147,0.0167236328125,0.30703125000000053,0.5667374927564226
603,33,1.1,margin only,5244,0.028525024402423455,0.006805419921875,0.2829101562499998,0.584096109839817
603,33,1.1,neither,64007,0.0051565162540329525,0.0002288818359375,0.109375,0.5130845063821144
603,33,1.2,both,6254,0.060422181549413846,0.03363037109375,0.4091796875,0.6069715382155421
603,33,1.2,MLP only,9033,0.023580081964613368,0.0041961669921875,0.2105957031250001,0.5389128750138381
603,33,1.2,margin only,9106,0.017754172273397498,0.002079010009765625,0.2265625,0.5560070283329672
603,33,1.2,neither,52407,0.0028688929687711966,0.000118255615234375,0.09375,0.5078710859236362
603,33,1.3,both,10641,0.048058075784303766,0.02294921875,0.35791015625,0.5899821445352881
603,33,1.3,MLP only,12365,0.01586366422832904,0.001953125,0.15234375,0.5268095430651031
603,33,1.3,margin only,12477,0.010714737623941921,0.0007190704345703125,0.1796875,0.5400336619379659
603,33,1.3,neither,41317,0.001492625224347076,6.103515625e-05,0.08359375000000036,0.5037393808843817
