base_seed,gate_seed,budget,layer,decisions,proxy_mlp_minus_margin,mlp_fraction_k2,margin_fraction_k2,mlp_recall_top5,margin_recall_top5,mlp_recall_top10,margin_recall_top10,recall_top10_difference,mlp_mean_selected_delta,margin_mean_selected_delta,layer_delta_mean,layer_delta_p90,layer_entropy_mean
602,11,1.2,1,25600,-5.642849951982498e-05,0.204375,0.136796875,0.475,0.46953125,0.390234375,0.348046875,0.042187500000000044,0.032976886730310746,0.04885508331961117,0.010852279737591744,0.1337890625,1.477668886751635
602,11,1.2,3,25600,-0.0006728742644190788,0.2288671875,0.167578125,0.56796875,0.59921875,0.497265625,0.475,0.02226562500000001,0.054693621485525076,0.07068166599407062,0.01681583806872368,0.14697265625,1.3466752936097328
602,11,1.2,5,25600,0.0009276796504855155,0.1915625,0.301484375,0.44375,0.7328125,0.3765625,0.60625,-0.22968749999999993,0.022348807258668186,0.017277422887916297,0.005615872964262962,0.1328125,1.5596182162174954
602,11,1.3,1,25600,-3.970365971326828e-05,0.30578125,0.2306640625,0.57421875,0.6203125,0.499609375,0.5,-0.0003906249999999778,0.02514937999727291,0.03316730447586667,0.010852279737591744,0.1337890625,1.477668886751635
602,11,1.3,3,25600,-3.6950185894966125e-05,0.3220703125,0.24453125,0.63984375,0.74609375,0.580859375,0.61484375,-0.03398437500000007,0.043071714670749196,0.05657833269990671,0.01681583806872368,0.14697265625,1.3466752936097328
602,11,1.3,5,25600,0.001348264589905739,0.2934375,0.433828125,0.52890625,0.88125,0.465625,0.777734375,-0.31210937499999997,0.0153809162501456,0.01351134669302005,0.005615872964262962,0.1328125,1.5596182162174954
602,22,1.1,1,25600,-0.0004856637492775917,0.1136328125,0.0632421875,0.33359375,0.25625,0.25234375,0.176953125,0.07539062499999999,0.04269428849834968,0.06903316445966205,0.010852279737591744,0.1337890625,1.477668886751635
602,22,1.1,3,25600,-0.003563227690756321,0.1323828125,0.0865625,0.51015625,0.34765625,0.40546875,0.26015625,0.1453125,0.0839539744854677,0.08722986942594232,0.01681583806872368,0.14697265625,1.3466752936097328
602,22,1.1,5,25600,0.0005756552889943123,0.06640625,0.152890625,0.26640625,0.43046875,0.199609375,0.337109375,-0.13749999999999998,0.04140837164486156,0.021750385077802515,0.005615872964262962,0.1328125,1.5596182162174954
602,22,1.2,1,25600,-0.00019802648574113846,0.2369140625,0.136796875,0.49296875,0.46953125,0.409765625,0.348046875,0.061718750000000044,0.0290453387997117,0.04885508331961117,0.010852279737591744,0.1337890625,1.477668886751635
